time,z,vz
7.300000000000005096e-02,2.235122383500000032e-01,-7.158854500000012555e-01
7.400000000000005185e-02,2.227865462499999949e-01,-7.256921000000012834e-01
7.500000000000005274e-02,2.220510474999999873e-01,-7.354987500000013112e-01
7.600000000000005362e-02,2.213057420999999803e-01,-7.453054000000013390e-01
7.700000000000005451e-02,2.205506300499999739e-01,-7.551120500000013669e-01
7.800000000000005540e-02,2.197857113499999682e-01,-7.649187000000013947e-01
7.900000000000005629e-02,2.190109859999999631e-01,-7.747253500000014226e-01
8.000000000000005718e-02,2.182264539999999586e-01,-7.845320000000014504e-01
8.100000000000005806e-02,2.174321153499999548e-01,-7.943386500000014783e-01
8.200000000000005895e-02,2.166279700499999517e-01,-8.041453000000015061e-01
8.300000000000005984e-02,2.158140180999999491e-01,-8.139519500000015340e-01
8.400000000000006073e-02,2.149902594999999472e-01,-8.237586000000015618e-01
8.500000000000006162e-02,2.141566942499999460e-01,-8.335652500000015896e-01
8.600000000000006251e-02,2.133133223499999453e-01,-8.433719000000016175e-01
8.700000000000006339e-02,2.124601437999999454e-01,-8.531785500000016453e-01
8.800000000000006428e-02,2.115971585999999460e-01,-8.629852000000016732e-01
8.900000000000006517e-02,2.107243667499999473e-01,-8.727918500000017010e-01
9.000000000000006606e-02,2.098417682499999493e-01,-8.825985000000017289e-01
9.100000000000006695e-02,2.089493630999999518e-01,-8.924051500000017567e-01
9.200000000000006783e-02,2.080471512999999550e-01,-9.022118000000017846e-01
9.300000000000006872e-02,2.071351328499999589e-01,-9.120184500000018124e-01
9.400000000000006961e-02,2.062133077499999634e-01,-9.218251000000018403e-01
9.500000000000007050e-02,2.052816759999999685e-01,-9.316317500000018681e-01
9.600000000000007139e-02,2.043402375999999743e-01,-9.414384000000018959e-01
9.700000000000007228e-02,2.033889925499999807e-01,-9.512450500000019238e-01
9.800000000000007316e-02,2.024279408499999877e-01,-9.610517000000019516e-01
9.900000000000007405e-02,2.014570824999999954e-01,-9.708583500000019795e-01
1.000000000000000749e-01,2.004764175000000037e-01,-9.806650000000020073e-01
1.010000000000000758e-01,1.994859458500000127e-01,-9.904716500000020352e-01
1.020000000000000767e-01,1.984856675500000223e-01,-1.000278300000001952e+00
1.030000000000000776e-01,1.974755826000000325e-01,-1.010084950000001980e+00
1.040000000000000785e-01,1.964556910000000434e-01,-1.019891600000002008e+00
1.050000000000000794e-01,1.954259927500000549e-01,-1.029698250000002036e+00
1.060000000000000803e-01,1.943864878500000393e-01,-1.039504900000002063e+00
1.070000000000000812e-01,1.933371763000000243e-01,-1.049311550000002091e+00
1.080000000000000820e-01,1.922780581000000100e-01,-1.059118200000002119e+00
1.090000000000000829e-01,1.912091332499999963e-01,-1.068924850000002147e+00
1.100000000000000838e-01,1.901304017499999832e-01,-1.078731500000002175e+00
1.110000000000000847e-01,1.890418635999999708e-01,-1.088538150000002203e+00
1.120000000000000856e-01,1.879435187999999590e-01,-1.098344800000002230e+00
1.130000000000000865e-01,1.868353673499999479e-01,-1.108151450000002258e+00
1.140000000000000874e-01,1.857174092499999374e-01,-1.117958100000002286e+00
1.150000000000000883e-01,1.845896444999999275e-01,-1.127764750000002314e+00
1.160000000000000892e-01,1.834520730999999183e-01,-1.137571400000002342e+00
1.170000000000000900e-01,1.823046950499999097e-01,-1.147378050000002370e+00
1.180000000000000909e-01,1.811475103499999018e-01,-1.157184700000002398e+00
1.190000000000000918e-01,1.799805189999998944e-01,-1.166991350000002425e+00
1.200000000000000927e-01,1.788037209999998878e-01,-1.176798000000002453e+00
1.210000000000000936e-01,1.776171163499998817e-01,-1.186604650000002481e+00
1.220000000000000945e-01,1.764207050499998763e-01,-1.196411300000002509e+00
1.230000000000000954e-01,1.752144870999998716e-01,-1.206217950000002537e+00
1.240000000000000963e-01,1.739984624999998675e-01,-1.216024600000002565e+00
1.250000000000000833e-01,1.727726312499998640e-01,-1.225831250000002592e+00
1.260000000000000842e-01,1.715369933499998611e-01,-1.235637900000002620e+00
1.270000000000000850e-01,1.702915487999998589e-01,-1.245444550000002648e+00
1.280000000000000859e-01,1.690362975999998574e-01,-1.255251200000002676e+00
1.290000000000000868e-01,1.677712397499998564e-01,-1.265057850000002704e+00
1.300000000000000877e-01,1.664963752499998562e-01,-1.274864500000002732e+00
1.310000000000000886e-01,1.652117040999998565e-01,-1.284671150000002759e+00
1.320000000000000895e-01,1.639172262999998575e-01,-1.294477800000002787e+00
1.330000000000000904e-01,1.626129418499998591e-01,-1.304284450000002815e+00
1.340000000000000913e-01,1.612988507499998614e-01,-1.314091100000002843e+00
1.350000000000000921e-01,1.599749529999998643e-01,-1.323897750000002871e+00
1.360000000000000930e-01,1.586412485999998678e-01,-1.333704400000002899e+00
1.370000000000000939e-01,1.572977375499998720e-01,-1.343511050000002927e+00
1.380000000000000948e-01,1.559444198499998768e-01,-1.353317700000002954e+00
1.390000000000000957e-01,1.545812954999998823e-01,-1.363124350000002982e+00
1.400000000000000966e-01,1.532083644999998884e-01,-1.372931000000003010e+00
1.410000000000000975e-01,1.518256268499998951e-01,-1.382737650000003038e+00
1.420000000000000984e-01,1.504330825499999025e-01,-1.392544300000003066e+00
1.430000000000000993e-01,1.490307315999999105e-01,-1.402350950000003094e+00
1.440000000000001001e-01,1.476185739999999191e-01,-1.412157600000003121e+00
1.450000000000001010e-01,1.461966097499999284e-01,-1.421964250000003149e+00
1.460000000000001019e-01,1.447648388499999383e-01,-1.431770900000003177e+00
1.470000000000001028e-01,1.433232612999999489e-01,-1.441577550000003205e+00
1.480000000000001037e-01,1.418718770999999323e-01,-1.451384200000003233e+00
1.490000000000001046e-01,1.404106862499999164e-01,-1.461190850000003261e+00
1.500000000000001055e-01,1.389396887499999012e-01,-1.470997500000003289e+00
1.510000000000001064e-01,1.374588845999998865e-01,-1.480804150000003316e+00
1.520000000000001072e-01,1.359682737999998725e-01,-1.490610800000003344e+00
1.530000000000001081e-01,1.344678563499998591e-01,-1.500417450000003372e+00
1.540000000000001090e-01,1.329576322499998464e-01,-1.510224100000003400e+00
1.550000000000001099e-01,1.314376014999998343e-01,-1.520030750000003428e+00
1.560000000000001108e-01,1.299077640999998229e-01,-1.529837400000003456e+00
1.570000000000001117e-01,1.283681200499998121e-01,-1.539644050000003483e+00
1.580000000000001126e-01,1.268186693499998019e-01,-1.549450700000003511e+00
1.590000000000001135e-01,1.252594119999997924e-01,-1.559257350000003539e+00
1.600000000000001144e-01,1.236903479999997835e-01,-1.569064000000003567e+00
1.610000000000001152e-01,1.221114773499997752e-01,-1.578870650000003595e+00
1.620000000000001161e-01,1.205228000499997676e-01,-1.588677300000003623e+00
1.630000000000001170e-01,1.189243160999997606e-01,-1.598483950000003651e+00
1.640000000000001179e-01,1.173160254999997543e-01,-1.608290600000003678e+00
1.650000000000001188e-01,1.156979282499997486e-01,-1.618097250000003706e+00
1.660000000000001197e-01,1.140700243499997435e-01,-1.627903900000003734e+00
1.670000000000001206e-01,1.124323137999997391e-01,-1.637710550000003762e+00
1.680000000000001215e-01,1.107847965999997353e-01,-1.647517200000003790e+00
1.690000000000001223e-01,1.091274727499997321e-01,-1.657323850000003818e+00
1.700000000000001232e-01,1.074603422499997296e-01,-1.667130500000003845e+00
1.710000000000001241e-01,1.057834050999997277e-01,-1.676937150000003873e+00
1.720000000000001250e-01,1.040966612999997265e-01,-1.686743800000003901e+00
1.730000000000001259e-01,1.024001108499997259e-01,-1.696550450000003929e+00
1.740000000000001268e-01,1.006937537499997259e-01,-1.706357100000003957e+00
1.750000000000001277e-01,9.897758999999972662e-02,-1.716163750000003985e+00
1.760000000000001286e-01,9.725161959999972794e-02,-1.725970400000004012e+00
1.770000000000001295e-01,9.551584254999972989e-02,-1.735777050000004040e+00
1.780000000000001303e-01,9.377025884999973249e-02,-1.745583700000004068e+00
1.790000000000001312e-01,9.201486849999972184e-02,-1.755390350000004096e+00
1.800000000000001321e-01,9.024967149999971183e-02,-1.765197000000004124e+00
1.810000000000001330e-01,8.847466784999970246e-02,-1.775003650000004152e+00
1.820000000000001339e-01,8.668985754999969373e-02,-1.784810300000004180e+00
1.830000000000001348e-01,8.489524059999968564e-02,-1.794616950000004207e+00
1.840000000000001357e-01,8.309081699999967818e-02,-1.804423600000004235e+00
1.850000000000001366e-01,8.127658674999967137e-02,-1.814230250000004263e+00
1.860000000000001374e-01,7.945254984999966519e-02,-1.824036900000004291e+00
1.870000000000001383e-01,7.761870629999965965e-02,-1.833843550000004319e+00
1.880000000000001392e-01,7.577505609999965475e-02,-1.843650200000004347e+00
1.890000000000001401e-01,7.392159924999965048e-02,-1.853456850000004374e+00
1.900000000000001410e-01,7.205833574999964686e-02,-1.863263500000004402e+00
1.910000000000001419e-01,7.018526559999964387e-02,-1.873070150000004430e+00
1.920000000000001428e-01,6.830238879999964152e-02,-1.882876800000004458e+00
1.930000000000001437e-01,6.640970534999963981e-02,-1.892683450000004486e+00
1.940000000000001446e-01,6.450721524999963874e-02,-1.902490100000004514e+00
1.950000000000001454e-01,6.259491849999963831e-02,-1.912296750000004542e+00
1.960000000000001463e-01,6.067281509999963157e-02,-1.922103400000004569e+00
1.970000000000001472e-01,5.874090504999962548e-02,-1.931910050000004597e+00
1.980000000000001481e-01,5.679918834999962002e-02,-1.941716700000004625e+00
1.990000000000001490e-01,5.484766499999961520e-02,-1.951523350000004653e+00
2.000000000000001499e-01,5.288633499999961102e-02,-1.961330000000004681e+00
2.010000000000001508e-01,5.091519834999960747e-02,-1.971136650000004709e+00
2.020000000000001517e-01,4.893425504999960457e-02,-1.980943300000004736e+00
2.030000000000001525e-01,4.694350509999960230e-02,-1.990749950000004764e+00
2.040000000000001534e-01,4.494294849999960068e-02,-2.000556600000004792e+00
2.050000000000001543e-01,4.293258524999959969e-02,-2.010363250000004598e+00
2.060000000000001552e-01,4.091241534999959240e-02,-2.020169900000004404e+00
2.070000000000001561e-01,3.888243879999958574e-02,-2.029976550000004210e+00
2.080000000000001570e-01,3.684265559999957973e-02,-2.039783200000004015e+00
2.090000000000001579e-01,3.479306574999957435e-02,-2.049589850000003821e+00
2.100000000000001588e-01,3.273366924999956962e-02,-2.059396500000003627e+00
2.110000000000001597e-01,3.066446609999956552e-02,-2.069203150000003433e+00
2.120000000000001605e-01,2.858545629999956206e-02,-2.079009800000003239e+00
2.130000000000001614e-01,2.649663984999955924e-02,-2.088816450000003044e+00
2.140000000000001623e-01,2.439801674999955705e-02,-2.098623100000002850e+00
2.150000000000001632e-01,2.228958699999955551e-02,-2.108429750000002656e+00
2.160000000000001641e-01,2.798476308403301249e-02,0.000000000000000000e+00
2.170000000000001650e-01,2.797495643403301313e-02,0.000000000000000000e+00
2.180000000000001659e-01,2.796514978403301377e-02,0.000000000000000000e+00
2.190000000000001668e-01,2.795534313403301441e-02,0.000000000000000000e+00
2.200000000000001676e-01,2.794553648403301505e-02,3.469446951953614189e-18
2.210000000000001685e-01,2.793572983403301568e-02,-1.734723475976807094e-18
2.220000000000001694e-01,2.792592318403301632e-02,0.000000000000000000e+00
2.230000000000001703e-01,2.791611653403301696e-02,0.000000000000000000e+00
2.240000000000001712e-01,2.790630988403301760e-02,1.734723475976807094e-18
2.250000000000001721e-01,2.789650323403301824e-02,-1.734723475976807094e-18
2.260000000000001730e-01,2.788669658403301888e-02,0.000000000000000000e+00
2.270000000000001739e-01,2.787688993403301951e-02,0.000000000000000000e+00
2.280000000000001747e-01,2.786708328403302015e-02,0.000000000000000000e+00
2.290000000000001756e-01,2.785727663403302079e-02,-1.734723475976807094e-18
2.300000000000001765e-01,2.784746998403302143e-02,0.000000000000000000e+00
2.310000000000001774e-01,2.783766333403302207e-02,-1.734723475976807094e-18
2.320000000000001783e-01,2.782785668403302271e-02,1.734723475976807094e-18
2.330000000000001792e-01,2.781805003403302334e-02,-1.734723475976807094e-18
2.340000000000001801e-01,2.780824338403302398e-02,1.734723475976807094e-18
2.350000000000001810e-01,2.779843673403302462e-02,0.000000000000000000e+00
2.360000000000001819e-01,2.778863008403302526e-02,0.000000000000000000e+00
2.370000000000001827e-01,2.777882343403302590e-02,0.000000000000000000e+00
2.380000000000001836e-01,2.776901678403302653e-02,-3.469446951953614189e-18
